ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2021   38  -4.18  -1.34  -2.06  -7.03  -4.68  -9.23 -10.49 -10.06  -9.85  -3.99 -10.17  -1.36
2022   38  -4.26  -1.36  -2.10  -7.18  -4.77  -9.43 -10.72 -10.28 -10.07  -4.06 -10.39  -1.37
2023   38  -4.35  -1.37  -2.13  -7.33  -4.87  -9.63 -10.95 -10.50 -10.28  -4.14 -10.62  -1.39
2019   39   0.00   0.00   0.00   0.00   0.00  -7.06  -7.96  -7.64  -6.29  -2.22  -8.71  -1.64
2020   39  -3.28  -1.77  -2.30  -4.88  -3.89  -7.21  -8.13  -7.81  -6.43  -2.25  -8.90  -1.65
2021   39  -3.33  -1.79  -2.33  -4.98  -3.96  -7.36  -8.30  -7.98  -6.56  -2.28  -9.10  -1.67
2022   39  -3.39  -1.81  -2.37  -5.07  -4.03  -7.51  -8.48  -8.14  -6.69  -2.31  -9.29  -1.69
2023   39  -3.44  -1.83  -2.40  -5.17  -4.10  -7.66  -8.65  -8.31  -6.82  -2.34  -9.48  -1.70
2019   40   0.00   0.00   0.00   0.00   0.00  -4.69  -5.20  -4.54  -5.17  -1.98  -3.18  -0.85
2020   40  -1.18  -0.85  -1.35  -3.28  -2.83  -4.79  -5.32  -4.63  -5.28  -2.02  -3.24  -0.86
2021   40  -1.19  -0.85  -1.36  -3.35  -2.88  -4.89  -5.43  -4.73  -5.39  -2.05  -3.30  -0.86
2022   40  -1.20  -0.86  -1.38  -3.41  -2.93  -4.99  -5.54  -4.83  -5.50  -2.08  -3.36  -0.86
2023   40  -1.21  -0.86  -1.40  -3.47  -2.99  -5.09  -5.65  -4.92  -5.61  -2.11  -3.43  -0.87
2019   42   0.00   0.00   0.00   0.00   0.00  -5.46  -6.15  -5.34  -6.15  -2.82  -3.71  -0.44
2020   42  -1.83  -0.44  -1.57  -3.89  -3.47  -5.59  -6.30  -5.47  -6.29  -2.88  -3.79  -0.44
2021   42  -1.87  -0.44  -1.60  -3.97  -3.54  -5.71  -6.44  -5.59  -6.44  -2.94  -3.87  -0.44
2022   42  -1.90  -0.44  -1.63  -4.06  -3.62  -5.84  -6.59  -5.71  -6.58  -3.00  -3.96  -0.45
2023   42  -1.94  -0.45  -1.66  -4.14  -3.70  -5.97  -6.73  -5.84  -6.72  -3.06  -4.04  -0.45
2019   34   0.00   0.00   0.00   0.00   0.00  -5.39  -5.57  -5.04  -4.41  -3.42  -4.74  -1.85
2020   34  -3.06  -2.41  -2.38  -3.78  -4.07  -5.50  -5.68  -5.14  -4.49  -3.47  -4.83  -1.86
2021   34  -3.10  -2.43  -2.41  -3.84  -4.14  -5.61  -5.79  -5.23  -4.57  -3.52  -4.92  -1.87
2022   34  -3.14  -2.45  -2.43  -3.90  -4.21  -5.71  -5.90  -5.33  -4.65  -3.58  -5.00  -1.87
2023   34  -3.18  -2.47  -2.45  -3.96  -4.28  -5.82  -6.02  -5.43  -4.73  -3.63  -5.09  -1.88
2019   43   0.00   0.00   0.00   0.00   0.00  -6.19  -7.11  -5.74  -5.92  -3.36  -4.76  -0.99
2020   43  -2.35  -0.99  -1.50  -3.90  -4.25  -6.32  -7.27  -5.87  -6.05  -3.42  -4.86  -1.00
2021   43  -2.39  -1.00  -1.52  -3.98  -4.34  -6.46  -7.43  -5.99  -6.18  -3.49  -4.96  -1.00
2022   43  -2.43  -1.00  -1.54  -4.06  -4.42  -6.59  -7.59  -6.12  -6.31  -3.56  -5.06  -1.01
2023   43  -2.47  -1.01  -1.56  -4.14  -4.51  -6.73  -7.75  -6.24  -6.44  -3.62  -5.16  -1.02
2019   45   0.00   0.00   0.00   0.00   0.00  -1.70  -1.74  -1.70  -1.68  -1.65  -1.61  -1.51
2020   45  -1.53  -1.55  -1.53  -1.71  -1.63  -1.72  -1.76  -1.72  -1.70  -1.67  -1.63  -1.52
2021   45  -1.54  -1.56  -1.54  -1.73  -1.65  -1.74  -1.78  -1.74  -1.72  -1.69  -1.65  -1.54
2022   45  -1.56  -1.58  -1.56  -1.75  -1.66  -1.76  -1.80  -1.76  -1.74  -1.71  -1.67  -1.55
2023   45  -1.57  -1.59  -1.57  -1.77  -1.68  -1.78  -1.83  -1.78  -1.76  -1.73  -1.68  -1.57
2019   46   0.00   0.00   0.00   0.00   0.00 -17.87 -19.03 -20.89 -17.58 -18.70  -8.10  -7.07
2020   46  -7.22  -6.06 -10.79 -15.94  -9.91 -18.24 -19.43 -21.34 -17.94 -19.09  -8.19  -7.13
2021   46  -7.28  -6.10 -10.96 -16.25 -10.05 -18.62 -19.84 -21.80 -18.30 -19.49  -8.28  -7.19
2022   46  -7.35  -6.13 -11.12 -16.56 -10.19 -18.99 -20.24 -22.26 -18.67 -19.88  -8.37  -7.25
2023   46  -7.41  -6.16 -11.29 -16.86 -10.33 -19.36 -20.65 -22.72 -19.03 -20.28  -8.47  -7.32
2019   47   0.00   0.00   0.00   0.00   0.00  -7.72  -9.83  -9.92  -5.07  -1.01 -10.11  -1.00
2020   47  -1.00  -1.00  -1.00  -6.06  -2.30  -7.91 -10.07 -10.16  -5.19  -1.02 -10.36  -1.01
2021   47  -1.01  -1.01  -1.01  -6.20  -2.35  -8.09 -10.31 -10.40  -5.30  -1.03 -10.60  -1.02
2022   47  -1.03  -1.02  -1.03  -6.34  -2.39  -8.28 -10.55 -10.65  -5.42  -1.04 -10.85  -1.04
2023   47  -1.04  -1.04  -1.04  -6.48  -2.43  -8.46 -10.79 -10.89  -5.54  -1.05 -11.10  -1.05
2019   48   0.00   0.00   0.00   0.00   0.00  -0.25  -0.21  -0.28  -0.25  -0.06  -0.22  -0.05
2020   48  -0.05  -0.05  -0.05  -0.08  -0.07  -0.26  -0.22  -0.28  -0.25  -0.06  -0.22  -0.05
2021   48  -0.05  -0.05  -0.05  -0.08  -0.07  -0.26  -0.22  -0.29  -0.26  -0.06  -0.23  -0.05
2022   48  -0.05  -0.05  -0.05  -0.08  -0.07  -0.27  -0.23  -0.30  -0.26  -0.06  -0.23  -0.05
2023   48  -0.05  -0.05  -0.05  -0.09  -0.07  -0.28  -0.23  -0.30  -0.27  -0.06  -0.24  -0.05
2019   49   0.00   0.00   0.00   0.00   0.00  -2.60  -2.67  -3.33  -3.18  -0.76  -1.78  -0.59
2020   49  -0.91  -0.59  -0.63  -0.76  -1.24  -2.65  -2.73  -3.41  -3.26  -0.77  -1.82  -0.60
2021   49  -0.92  -0.60  -0.63  -0.77  -1.26  -2.71  -2.79  -3.49  -3.33  -0.78  -1.86  -0.60
2022   49  -0.94  -0.60  -0.64  -0.78  -1.28  -2.77  -2.85  -3.56  -3.40  -0.79  -1.89  -0.61
2023   49  -0.95  -0.61  -0.65  -0.79  -1.31  -2.83  -2.91  -3.64  -3.48  -0.80  -1.93  -0.61
2019   50   0.00   0.00   0.00   0.00   0.00  -3.36  -3.83  -3.63  -3.67  -1.61  -3.47  -0.90
2020   50  -1.84  -0.90  -0.92  -2.47  -1.83  -3.44  -3.92  -3.71  -3.76  -1.64  -3.55  -0.91
2021   50  -1.88  -0.91  -0.93  -2.52  -1.86  -3.51  -4.01  -3.79  -3.84  -1.67  -3.63  -0.92
2022   50  -1.91  -0.92  -0.94  -2.57  -1.90  -3.59  -4.09  -3.87  -3.92  -1.69  -3.71  -0.93
