NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 156 GTMIN   164.39  7 2020  7 2020                                                                                                                                                                     
 156 IPTER   100.00  6 2019  6 2019                                                                                                                                                                     
 156 GTMIN  0210.00  8 2020 10 2020                                                                                                                                                                     
 156 IPTER    32.26  7 2019  7 2019                                                                                                                                                                     
 156 GTMIN  0210.00 11 2020  3 2021                                                                                                                                                                     
 156 IPTER     0.00  8 2019  5 2020                                                                                                                                                                     
 156 GTMIN  0210.00  4 2021  5 2021                                                                                                                                                                     
 156 IPTER   100.00  6 2020  6 2020                                                                                                                                                                     
 156 IPTER    32.26  7 2020  7 2020                                                                                                                                                                     
 156 GTMIN   164.39  7 2021  7 2021                                                                                                                                                                     
 156 IPTER     0.00  8 2020  5 2021                                                                                                                                                                     
 156 GTMIN  0210.00  8 2021 10 2021                                                                                                                                                                     
 156 IPTER   100.00  6 2021  6 2021                                                                                                                                                                     
 156 GTMIN  0210.00 11 2021  3 2022                                                                                                                                                                     
 156 IPTER    32.26  7 2021  7 2021                                                                                                                                                                     
 156 GTMIN  0210.00  4 2022  5 2022                                                                                                                                                                     
 156 IPTER     0.00  8 2021  5 2022                                                                                                                                                                     
 156 IPTER   100.00  6 2022  6 2022                                                                                                                                                                     
 156 GTMIN   164.39  7 2022  7 2022                                                                                                                                                                     
 156 IPTER    32.26  7 2022  7 2022                                                                                                                                                                     
 156 GTMIN  0210.00  8 2022 10 2022                                                                                                                                                                     
 156 IPTER     0.00  8 2022                                                                                                                                                                             
 156 GTMIN  0210.00 11 2022                                                                                                                                                                             
  64 POTEF   248.57  1 2018          CANOAS                                                                                                                                                             
  64 GTMIN  0000.00 11 2018  3 2019                                                                                                                                                                     
  64 GTMIN  0000.00 11 2019  3 2020                                                                                                                                                                     
  64 GTMIN  0000.00 11 2020 12 2020                                                                                                                                                                     
  28 POTEF    20.00  1 2018          FIGUEIRA                                                                                                                                                           
  28 FCMAX    65.00  1 2018  9 2018                                                                                                                                                                     
  28 GTMIN     3.73  1 2018  1 2018                                                                                                                                                                     
  28 FCMAX    90.00 10 2018                                                                                                                                                                             
  28 IPTER    74.19  1 2019  1 2019                                                                                                                                                                     
  28 GTMIN     7.47  2 2018  6 2018                                                                                                                                                                     
  28 IPTER     0.00  2 2019 12 2019                                                                                                                                                                     
