EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
17CANDEIAS        53GLOBAL I          3 01112018   4     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          3 01122018   2     34.72                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01032018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01042018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01052018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01062018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01072018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01082018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01092018   4     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01102018   2     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01112018   4     44.64                                                                                                                                          
17CANDEIAS        53GLOBAL I          4 01122018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01032018   5     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01042018   4     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01052018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01062018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01072018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01082018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01092018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01102018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01112018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         1 01122018   5     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01032018   5     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01042018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01052018   5     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01062018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01072018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01082018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01092018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01102018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01112018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         2 01122018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01032018   5     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01042018   4     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01052018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01062018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01072018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01082018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01092018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01102018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01112018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         3 01122018   2     34.72                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01032018   4     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01042018   4     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01052018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01062018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01072018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01092018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01102018   2     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01112018   4     44.64                                                                                                                                          
17CANDEIAS        55GLOBAL II         4 01122018   4     44.64                                                                                                                                          
21ENGUIA CE      127IGUATU            2 01032018  61      1.64                                                                                                                                          
21ENGUIA CE      127IGUATU            7 01032018  61      1.64                                                                                                                                          
21ENGUIA CE      127IGUATU            8 01032018  61      1.64                                                                                                                                          
21ENGUIA CE      133JUAZEIRO N        8 01032018 153      1.64                                                                                                                                          
24MARACANAU       57MARACANAU I       1 01012018 365     21.00                                                                                                                                          
24MARACANAU       57MARACANAU I       2 01012018 243     21.00                                                                                                                                          
24MARACANAU       57MARACANAU I       3 01012018 151     21.00                                                                                                                                          
24MARACANAU       57MARACANAU I       7 01012018  59     21.00                                                                                                                                          
24MARACANAU       57MARACANAU I       8 01012018  90     21.00                                                                                                                                          
21ENGUIA PI      135MARAMBAIA         2 01032018 153      1.64                                                                                                                                          
21ENGUIA PI      135MARAMBAIA         8 01032018 153      1.64                                                                                                                                          
68PETROBRAS      164MURICY            1 03092018  52     18.35                                                                                                                                          
68PETROBRAS      164MURICY            2 12012018   2     18.47                                                                                                                                          
68PETROBRAS      164MURICY            3 07052018  52     18.46                                                                                                                                          
68PETROBRAS      164MURICY            4 19012018   2     18.53                                                                                                                                          
68PETROBRAS      164MURICY            4 04072018  52     18.53                                                                                                                                          
68PETROBRAS      164MURICY            5 03122018   8     18.27                                                                                                                                          
68PETROBRAS      164MURICY            6 22012018  38     18.44                                                                                                                                          
68PETROBRAS      164MURICY            7 07032018  52     18.20                                                                                                                                          
68PETROBRAS      164MURICY            8 01012018  59     18.42                                                                                                                                          
21ENGUIA PI      138NAZARIA           7 01032018 153      1.64                                                                                                                                          
24PERNAMB III     98PERNAMBU_III      1 01012018  31     52.38                                                                                                                                          
24PERNAMB III     98PERNAMBU_III      2 01012018  30     52.38                                                                                                                                          
24PERNAMB III     98PERNAMBU_III      3 01012018  31     52.38                                                                                                                                          
24PERNAMB III     98PERNAMBU_III      4 01012018  59     43.65                                                                                                                                          
11PETROLINA      144PETROLINA         1 01112018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         2 01122018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         3 01102018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         4 01092018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         5 01092018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         6 01122018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         7 01112018  30     17.03                                                                                                                                          
11PETROLINA      144PETROLINA         8 01102018  30     17.03                                                                                                                                          
22CEP            161POTIGUAR III      1 01032018  31     11.62                                                                                                                                          
22CEP            161POTIGUAR III      2 01032018  31     11.62                                                                                                                                          
22CEP            161POTIGUAR III      4 01032018  31      9.96                                                                                                                                          
22CEP            161POTIGUAR III      5 01032018  31     11.62                                                                                                                                          
22CEP            161POTIGUAR III      6 01032018  31      9.96                                                                                                                                          
68PETROBRAS       43TERMOBAHIA        1 15102018   8    185.90                                                                                                                                          
11TERMOCABO      152TERMOCABO         2 01012018  18     16.58                                                                                                                                          
68PETROBRAS       58TERMOCEARA        1 29012018   5     55.75                                                                                                                                          
68PETROBRAS       58TERMOCEARA        1 19032018  10     55.75                                                                                                                                          
68PETROBRAS       58TERMOCEARA        1 02072018   6     55.75                                                                                                                                          
68PETROBRAS       58TERMOCEARA        2 05022018   5     57.11                                                                                                                                          
68PETROBRAS       58TERMOCEARA        2 02042018   8     57.11                                                                                                                                          
68PETROBRAS       58TERMOCEARA        2 11062018   5     57.11                                                                                                                                          
68PETROBRAS       58TERMOCEARA        2 01102018   4     57.11                                                                                                                                          
68PETROBRAS       58TERMOCEARA        2 03122018   6     57.11                                                                                                                                          
68PETROBRAS       58TERMOCEARA        3 18012018   1     56.24                                                                                                                                          
68PETROBRAS       58TERMOCEARA        3 11042018   8     56.24                                                                                                                                          
68PETROBRAS       58TERMOCEARA        3 16072018   6     56.24                                                                                                                                          
68PETROBRAS       58TERMOCEARA        3 03092018   5     56.24                                                                                                                                          
68PETROBRAS       58TERMOCEARA        4 12022018   5     53.89                                                                                                                                          
68PETROBRAS       58TERMOCEARA        4 20042018  10     53.89                                                                                                                                          
68PETROBRAS       58TERMOCEARA        4 24092018   5     53.89                                                                                                                                          
68PETROBRAS       58TERMOCEARA        4 22102018   6     53.89                                                                                                                                          
96TERMOPE         96TERMOPE           1 24032018  14    164.68                                                                                                                                          
96TERMOPE         96TERMOPE           2 24032018  14    160.29                                                                                                                                          
96TERMOPE         96TERMOPE           3 24032018  14    207.79                                                                                                                                          
68PETROBRAS       83VALE DO ACU       1 18102018  40    182.76                                                                                                                                          
23AMAZONAS       201APARECIDA         1 04072018   2     40.00                                                                                                                                          
23AMAZONAS       201APARECIDA         1 10122018  11     40.00                                                                                                                                          
23AMAZONAS       201APARECIDA         2 02052018   2     40.00                                                                                                                                          
23AMAZONAS       201APARECIDA         2 25102018   2     40.00                                                                                                                                          
23AMAZONAS       201APARECIDA         3 15032018  10     43.00                                                                                                                                          
23AMAZONAS       201APARECIDA         3 01042018  30     43.00                                                                                                                                          
23AMAZONAS       201APARECIDA         3 26092018   2     43.00                                                                                                                                          
23AMAZONAS       201APARECIDA         4 01062018  30     43.00                                                                                                                                          
