NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  53 IPTER     2.26  5 2020  5 2020
  53 IPTER    15.56  6 2020  6 2020
  53 IPTER    15.05  7 2020  7 2020
  53 IPTER     0.00  8 2020 10 2020
  53 IPTER     5.89 11 2020 11 2020
  53 IPTER    42.37 12 2020 12 2020
  53 IPTER    17.31  1 2021  1 2021
  53 IPTER     0.00  2 2021  9 2021
  53 IPTER    17.31 10 2021 10 2021
  53 IPTER    20.89 11 2021 11 2021
  53 IPTER    17.96 12 2021 12 2021
  53 IPTER     0.00  1 2022  2 2022
  53 IPTER     3.76  3 2022  3 2022
  53 IPTER     2.33  4 2022  4 2022
  53 IPTER     0.00  5 2022  9 2022
  53 IPTER    17.31 10 2022 10 2022
  53 IPTER    18.56 11 2022 11 2022
  53 IPTER    35.27 12 2022 12 2022
  53 IPTER     0.00  1 2023  8 2023
  53 IPTER     3.89  9 2023  9 2023
  53 IPTER    17.31 10 2023 10 2023
  53 IPTER    22.89 11 2023 11 2023
  53 IPTER    41.51 12 2023 12 2023
  55 POTEF   148.80  6 2019 12 2023
  55 IPTER     0.00  1 2020  3 2020
  55 IPTER     3.00  4 2020  4 2020
  55 IPTER     0.00  5 2020  7 2020
  55 IPTER    15.05  8 2020  8 2020
  55 IPTER    31.11  9 2020  9 2020
  55 IPTER     0.00 10 2020 11 2020
  55 IPTER     4.52 12 2020 12 2020
  55 IPTER     0.00  1 2021  2 2021
  55 IPTER    34.41  3 2021  3 2021
  55 IPTER     0.00  4 2021  6 2021
  55 IPTER    15.05  7 2021  7 2021
  55 IPTER     0.00  8 2021  9 2021
  55 IPTER     5.16 10 2021 10 2021
  55 IPTER    20.00 11 2021 11 2021
  55 IPTER     1.94 12 2021 12 2021
  55 IPTER     0.00  1 2022  6 2022
  55 IPTER    15.05  7 2022  7 2022
  55 IPTER     0.00  8 2022  9 2022
  55 IPTER     4.52 10 2022 10 2022
  55 IPTER     2.33 11 2022 11 2022
  55 IPTER    32.04 12 2022 12 2022
  55 IPTER     0.00  1 2023  1 2023
  55 IPTER     2.50  2 2023  2 2023
  55 IPTER     2.90  3 2023  3 2023
  55 IPTER     0.00  4 2023  6 2023
  55 IPTER    15.05  7 2023  7 2023
  55 IPTER    34.41  8 2023  8 2023
  55 IPTER    15.56  9 2023  9 2023
  55 IPTER    23.87 10 2023 10 2023
  55 IPTER     5.33 11 2023 11 2023
  55 IPTER     0.00 12 2023 12 2023
 127 POTEF    14.76  6 2019 12 2023
 127 FCMAX     0.00  6 2019  7 2020
 127 FCMAX   100.00  8 2020 12 2023
 133 POTEF    14.76  6 2019 12 2023
 133 FCMAX     0.00  6 2019  7 2020
 133 FCMAX   100.00  8 2020 12 2023
  57 POTEF   168.00  6 2019 12 2023
  57 FCMAX    98.03  6 2019 12 2023
 135 POTEF    13.12  6 2019 12 2023
 135 FCMAX     0.00  6 2019  7 2020
 135 FCMAX   100.00  8 2020 12 2023
